No,KOI Code,Variation,Breeder,VariationID,BreederID,MMYY,Sequence,Bloodline,BloodlineID,Nickname,Variety ,Gender,Birth Year & Month,Age,Breeder,Purchase Date,Size (cm),updated date,update size (cm),Seller Agent,Seller ID,Handling Agent,Price Buy ( JPY ),Price Buy ( IDR ),Keeping Location,Link Photos,Link Video,Link Trophy,Link Certificate,Sell Price (IDR),Sell Price ( JPY),Date of Sell,Buyer Name,Date of Death,Death Note,
63,SANSFF012300003,SAN,SFF,151,72,0123,00003,Amethyst,9,,Sanke,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,18-21,,,Pieth,2,,,,,SANSFF012300003.jpg,,,,,,,,,,
64,SANSFF012300004,SAN,SFF,151,72,0123,00004,Amethyst,9,,Sanke,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,18-21,,,Pieth,2,,,,,SANSFF012300004.jpg,,,,,,,,,,
65,SANSFF012300005,SAN,SFF,151,72,0123,00005,Amethyst,9,,Sanke,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,18-21,,,Pieth,2,,,,,SANSFF012300005.jpg,,,,,,,,,,
66,CHAKOP122200001,CHA,KOP,17,94,1222,00001,,1,,Chagoi,Female,Jun2018,4,Koi Palace,Dec 2022,88,,,Koi Palace,4,,,65000000,Duta Mas Jakarta,CHAKOP122200001.jpg,CHAKOP122200001.mp4,,,,,,,,,
67,GSWHIF122200001,GSW,HIF,65,9,1222,00001,,1,,Ginrin Showa,Female,Jun 2019,3,Hiroi Koi Farm,Dec 2022,70,,,Koi Palace,4,,,49700000,Duta Mas Jakarta,GSWHIF122200001.jpg,GSWHIF122200001.mp4,,,,,,,,,
68,KAUHKF112200001,KAU,HKF,98,11,1122,00001,,1,,Kohaku,Female,Jun 2018,4,Hoshikin Koi farma,Nov 2022,72,,,Koi Palace,4,,,147662000,Duta Mas Jakarta,KAUHKF112200001.jpg,KAUHKF112200001.mp4,,,,,,,,,
69,TSHISA122200001,TSH,ISA,176,17,1222,00001,,1,,Tancho Showa,Female,Jun 2019,3,ISA koi Farm,Dec 2022,67,,,Koi Palace,4,,500000,,Duta Mas Jakarta,TSHISA122200001.jpg,TSHISA122200001.mp4,,,,,,,,,
70,GCHKOP122200001,GCH,KOP,42,94,1222,00001,,1,,Ginrin Chagoi,Female,Jun 2018,4,Koi Palace,Dec 2022,72,,,Koi Palace,4,,,45000000,Duta Mas Jakarta,GCHKOP122200001.jpg,GCHKOP122200001.mp4,,,,,,,,,
71,GOAHIF122200001,GOA,HIF,56,9,1222,00001,,1,,Ginrin Ochiba,Female,Jun 2019,3,HIROI KOI FARM,Dec 2022,68,,,Koi Palace,4,,,49700000,Duta Mas Jakarta,GOAHIF122200001.jpg,GOAHIF122200001.mp4,,,,,,,,,
72,KIUMHI122200001,KIU,MHI,106,42,1222,00001,,1,,Ki Utsuri,Female,Jun 2018,4,Maruhiro Koi Farm,Dec 2022,79,,,Koi Palace,4,,,77166667,Duta Mas Jakarta,KIUMHI122200001.jpg,KIUMHI122200001.mp4,,,,,,,,,
