No,KOI Code,Variation,Breeder,VariationID,BreederID,Bloodline,BloodlineID,MMYY,Sequence,Nickname,Variety ,Gender,Birth Year & Month,Age,Breeder,Purchase Date,Size (cm),updated date,update size (cm),Seller Agent,Handling Agent,Price Buy ( JPY ),Price Buy ( IDR ),Keeping Location,Link Photos,Link Video,Link Trophy,Link Certificate,Sell Price (IDR),Sell Price ( JPY),Date of Sell,Buyer Name,Date of Death,Death Note,
62,SANSFF012300002,SAN,SFF,150,71,Amethyst,8,0123,00002,,Sanke,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,18-21,,,Pieth,,,,,SANSFF012300002.jpg,,,,,,,,,,
63,SANSFF012300003,SAN,SFF,150,71,Amethyst,8,0123,00003,,Sanke,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,18-21,,,Pieth,,,,,SANSFF012300003.jpg,,,,,,,,,,
64,SANSFF012300004,SAN,SFF,150,71,Amethyst,8,0123,00004,,Sanke,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,18-21,,,Pieth,,,,,SANSFF012300004.jpg,,,,,,,,,,
65,SANSFF012300005,SAN,SFF,150,71,Amethyst,8,0123,00005,,Sanke,Unknown,Jun 2022,1,Sakai Fish Farm,Jan 2023,18-21,,,Pieth,,,,,SANSFF012300005.jpg,,,,,,,,,,
66,CHAKOP122200001,CHA,KOP,16,92,,NULL,1222,00001,,Chagoi,Female,Jun2018,4,Koi Palace,Dec 2022,88,,,Koi Palace,,,65000000,Duta Mas Jakarta,CHAKOP122200001.jpg,CHAKOP122200001.mp4,,,,,,,,,
67,GSWHIF122200001,GSW,HIF,64,8,,NULL,1222,00001,,Ginrin Showa,Female,Jun 2019,3,Hiroi Koi Farm,Dec 2022,70,,,Koi Palace,,,49700000,Duta Mas Jakarta,GSWHIF122200001.jpg,GSWHIF122200001.mp4,,,,,,,,,
68,KAUHKF112200001,KAU,HKF,97,10,,NULL,1122,00001,,Kohaku,Female,Jun 2018,4,Hoshikin Koi farma,Nov 2022,72,,,Koi Palace,,,147662000,Duta Mas Jakarta,KAUHKF112200001.jpg,KAUHKF112200001.mp4,,,,,,,,,
69,TSHISA122200001,TSH,ISA,175,16,,NULL,1222,00001,,Tancho Showa,Female,Jun 2019,3,ISA koi Farm,Dec 2022,67,,,Koi Palace,,500000,,Duta Mas Jakarta,TSHISA122200001.jpg,TSHISA122200001.mp4,,,,,,,,,
70,GCHKOP122200001,GCH,KOP,41,92,,NULL,1222,00001,,Ginrin Chagoi,Female,Jun 2018,4,Koi Palace,Dec 2022,72,,,Koi Palace,,,45000000,Duta Mas Jakarta,GCHKOP122200001.jpg,GCHKOP122200001.mp4,,,,,,,,,
71,GOAHIF122200001,GOA,HIF,55,8,,NULL,1222,00001,,Ginrin Ochiba,Female,Jun 2019,3,HIROI KOI FARM,Dec 2022,68,,,Koi Palace,,,49700000,Duta Mas Jakarta,GOAHIF122200001.jpg,GOAHIF122200001.mp4,,,,,,,,,
72,KIUMHI122200001,KIU,MHI,105,41,,NULL,1222,00001,,Ki Utsuri,Female,Jun 2018,4,Maruhiro Koi Farm,Dec 2022,79,,,Koi Palace,,,77166667,Duta Mas Jakarta,KIUMHI122200001.jpg,KIUMHI122200001.mp4,,,,,,,,,
